target_month,gross_return,turnover,cost_10bps,net_return
2021-05-31,0.05585507354729637,0.059334609264194184,5.933460926419419e-05,0.05579573893803218
2021-06-30,-0.053444778469525944,0.02391731664022901,2.391731664022901e-05,-0.05346869578616617
2021-07-31,0.019076741075712698,0.02154650039729513,2.154650039729513e-05,0.0190551945753154
2021-08-31,-0.0003515618955757478,0.008343157001987109,8.34315700198711e-06,-0.00035990505257773485
2021-09-30,-0.022883490771499006,0.04224626607378619,4.224626607378619e-05,-0.022925737037572794
2021-10-31,0.011944674155272682,0.08306414054057115,8.306414054057115e-05,0.011861610014732111
2021-11-30,-0.005483271686096931,0.05074091156088322,5.074091156088322e-05,-0.0055340125976578135
2021-12-31,0.02506580359912747,0.05026159130481973,5.0261591304819736e-05,0.02501554200782265
2022-01-31,-0.008207867716624987,0.02555782580964793,2.555782580964793e-05,-0.008233425542434638
2022-02-28,0.044712955621325566,0.03520838921931206,3.520838921931206e-05,0.044677747232106255
2022-03-31,0.011518292061559784,0.09442344097636249,9.44234409763625e-05,0.01142386862058342
2022-04-30,-0.010734139266586508,0.057683207045920504,5.7683207045920505e-05,-0.01079182247363243
2022-05-31,-0.02116058683165499,0.08310719398866007,8.310719398866007e-05,-0.02124369402564365
2022-06-30,-0.018198567099160828,0.12377334437922054,0.00012377334437922054,-0.018322340443540048
2022-07-31,-0.010210522431319643,0.096384710256319,9.638471025631901e-05,-0.010306907141575962
2022-08-31,-0.01117770459441824,0.009119043888973988,9.119043888973988e-06,-0.011186823638307215
2022-09-30,-0.010236456560507158,0.025579593667360102,2.5579593667360104e-05,-0.010262036154174516
2022-10-31,-0.006104264052994858,0.045116476232611585,4.511647623261159e-05,-0.00614938052922747
2022-11-30,0.03573261201471642,0.011207898088270433,1.1207898088270434e-05,0.03572140411662814
2022-12-31,0.016856019517542953,0.10234826350960172,0.00010234826350960172,0.01675367125403335
2023-01-31,0.03745937242806788,0.10560824673331276,0.00010560824673331276,0.03735376418133456
2023-02-28,-0.03608954421412778,0.7962527993242386,0.0007962527993242386,-0.03688579701345201
2023-03-31,-0.018936366815343074,0.16441043719111503,0.00016441043719111505,-0.019100777252534187
2023-04-30,-0.026837889721413946,0.19410217743251135,0.00019410217743251134,-0.027031991898846457
2023-05-31,-0.07551349471550327,0.02506281323047214,2.506281323047214e-05,-0.07553855752873373
2023-06-30,0.04314463639287686,0.06702662848990336,6.702662848990335e-05,0.04307760976438696
2023-07-31,0.10735842238745541,0.04290668125178657,4.2906681251786576e-05,0.10731551570620361
2023-08-31,-0.005670886624187588,0.06970082918648493,6.970082918648494e-05,-0.005740587453374074
2023-09-30,0.034752620269413094,0.05140518771589074,5.1405187715890744e-05,0.034701215081697205
2023-10-31,-0.0031425345222446635,0.4230583921969621,0.0004230583921969621,-0.003565592914441627
2023-11-30,-0.0339339270500118,0.33825833642825076,0.0003382583364282508,-0.03427218538644005
2023-12-31,-0.008002567492006894,0.17240376393942744,0.00017240376393942743,-0.008174971255946323
2024-01-31,0.01560613446950581,0.0998384456440177,9.98384456440177e-05,0.015506296023861792
2024-02-29,-0.010164198552714405,0.11523136881432651,0.00011523136881432651,-0.010279429921528733
2024-03-31,0.03708760655933159,0.14216314347111547,0.00014216314347111547,0.03694544341586047
2024-04-30,0.05469205182073538,0.1899666489008017,0.0001899666489008017,0.05450208517183458
2024-05-31,-0.020455024575402048,0.27622827390555293,0.0002762282739055529,-0.020731252849307602
2024-06-30,0.0262341639048351,0.16243688929597022,0.0001624368892959702,0.026071727015539135
2024-07-31,-0.020104170341388367,0.07363029593639182,7.363029593639183e-05,-0.020177800637324755
2024-08-31,-0.022455075540124297,0.19572769477979346,0.00019572769477979346,-0.022650803234904086
2024-09-30,-0.012748114073524643,0.047825184006328764,4.7825184006328766e-05,-0.01279593925753097
